releve_id,releve_type,habitat_id,date,location
2976540,923,639,2023-07-13T16:10:26+02:00,"(47.672018, 8.59718263)"
2976541,923,613,2023-07-13T12:19:28+02:00,"(47.5924693, 8.60202536)"
2976542,923,614,2023-07-13T11:13:19+02:00,"(47.59220506, 8.59790406)"
2976543,923,231,2023-07-13T09:09:45+02:00,"(47.59043912, 8.59636431)"
2976544,922,634,2023-07-13T18:08:32+02:00,"(47.761722995032265, 8.61384104817772)"
2976545,922,612,2023-07-13T14:31:36+02:00,"(47.593374825838644, 8.6012579473062)"
2976546,922,614,2023-07-13T11:23:27+02:00,"(47.59220326282309, 8.597903968632886)"
2976548,922,231,2023-07-13T10:43:36+02:00,"(47.59047477725608, 8.596358995949458)"
2976549,922,639,2023-07-13T16:34:39+02:00,"(47.67204461588531, 8.59716373842311)"
2976550,922,613,2023-07-13T12:49:11+02:00,"(47.592390994228396, 8.602048524380935)"
2976683,922,612,2023-07-17T16:34:08+02:00,"(46.94361525903522, 9.541631524595022)"
2976684,922,614,2023-07-17T14:54:06+02:00,"(46.94091473683694, 9.541970009747262)"
2976685,922,536,2023-07-17T13:33:37+02:00,"(46.947521767446716, 9.541554013546845)"
2976686,922,451,2023-07-17T20:22:36+02:00,"(46.95713289829792, 9.541089922807686)"
2976687,922,623,2023-07-17T19:09:24+02:00,"(46.96478042179216, 9.545021052057479)"
2976688,923,623,2023-07-17T18:51:15+02:00,"(46.96489559, 9.54504864)"
2976689,923,612,2023-07-17T15:30:21+02:00,"(46.9435999563607, 9.541700432701452)"
2976690,923,614,2023-07-17T14:05:19+02:00,"(46.94091413, 9.54200484)"
2976691,923,536,2023-07-17T11:56:03+02:00,"(46.94756621, 9.5414352)"
2976692,923,451,2023-07-17T08:57:22+02:00,"(46.95708829, 9.54108549)"
2976750,922,644,2023-07-18T18:01:35+02:00,"(46.74841294751088, 10.089597042912972)"
2976751,922,661,2023-07-18T16:33:01+02:00,"(46.73633550637243, 10.083718429511705)"
2976752,922,222,2023-07-18T21:49:57+02:00,"(46.74976836218077, 9.947412487989169)"
2976889,923,665,2023-07-19T17:58:59+02:00,"(46.63880741, 10.29103031)"
2976890,923,432,2023-07-19T16:54:54+02:00,"(46.63551458, 10.28399605)"
2976891,923,3312,2023-07-19T15:36:40+02:00,"(46.63000252, 10.27624103)"
2976892,923,545,2023-07-19T13:13:57+02:00,"(46.63485815, 10.26012759)"
2976893,923,424,2023-07-19T10:02:00+02:00,"(46.63126994, 10.32765311)"
2976894,923,223,2023-07-19T08:47:25+02:00,"(46.63003887, 10.33068479)"
2976895,923,222,2023-07-18T10:44:44+02:00,"(46.74971051940801, 9.947411105640713)"
2976896,923,644,2023-07-18T18:01:47+02:00,"(46.74847405, 10.08941)"
2976897,923,661,2023-07-18T16:29:43+02:00,"(46.73633358, 10.08366304)"
2976898,923,3322,2023-07-18T11:59:24+02:00,"(46.7464994, 9.94745468)"
2976903,922,665,2023-07-19T18:26:01+02:00,"(46.63876634468517, 10.291020524285024)"
2976904,922,432,2023-07-19T17:05:29+02:00,"(46.635514918439746, 10.28402006313289)"
2976905,922,545,2023-07-19T13:17:07+02:00,"(46.634868698197984, 10.26014488018629)"
2976906,922,424,2023-07-19T10:05:23+02:00,"(46.63132957032796, 10.32762561893263)"
2976907,922,223,2023-07-19T08:55:33+02:00,"(46.63010056540187, 10.330683836630303)"
2976925,922,3312,2023-07-20T06:55:22+02:00,"(46.630009414275705, 10.276276897713757)"
2976926,922,3322,2023-07-18T13:22:55+02:00,"(46.746621066310965, 9.947539490239834)"
2977065,922,3322,2023-07-20T09:42:12+02:00,"(46.50630930111646, 9.785544863510847)"
2977066,922,434,2023-07-20T12:03:42+02:00,"(46.511070678202664, 9.791058804954215)"
2977067,922,435,2023-07-20T16:08:43+02:00,"(46.51597737249568, 9.82123460324875)"
2977068,922,717,2023-07-20T17:41:26+02:00,"(46.51905802051923, 9.840632648019188)"
2977129,922,539,2023-07-21T10:59:24+02:00,"(46.518211910508235, 9.842819746868944)"
2977130,923,717,2023-07-20T17:07:08+02:00,"(46.51905675, 9.8406243)"
2977131,923,539,2023-07-20T18:20:09+02:00,"(46.51810134, 9.84283947)"
2977132,923,435,2023-07-20T15:13:18+02:00,"(46.51597175, 9.82125515)"
2977133,923,434,2023-07-20T12:00:17+02:00,"(46.51104189, 9.7911523)"
2977134,923,3322,2023-07-20T09:34:14+02:00,"(46.50631366, 9.78555361)"
2977382,923,3211,2023-07-26T17:29:47+02:00,"(46.04399998693825, 7.488409850527973)"
2977383,923,717,2023-07-26T14:56:41+02:00,"(46.10703948, 7.45046459)"
2977384,923,223,2023-07-26T13:36:31+02:00,"(46.116302492983486, 7.451042918335134)"
2977385,923,536,2023-07-28T06:48:59+02:00,"(46.10913119, 7.4944944)"
2977386,923,542,2023-07-25T15:26:14+02:00,"(46.32582199, 7.73311554)"
2977387,923,4211,2023-07-25T18:51:12+02:00,"(46.29352954, 7.56046409)"
2977388,923,634,2023-07-25T13:27:47+02:00,"(46.32634871, 7.7312716)"
2977389,923,511,2023-07-25T10:55:31+02:00,"(46.32650156, 7.73090866)"
2977391,922,3211,2023-07-26T17:31:07+02:00,"(46.04400735723239, 7.488423033466688)"
2977392,922,717,2023-07-26T15:00:47+02:00,"(46.107019535556105, 7.450508530466978)"
2977395,922,223,2023-07-26T13:42:01+02:00,"(46.11629134430445, 7.45099246873905)"
2977396,922,536,2023-07-26T10:29:40+02:00,"(46.10919882846334, 7.494526067796535)"
2977397,922,511,2023-07-25T10:56:52+02:00,"(46.32650289632965, 7.73084730031097)"
2977398,922,634,2023-07-25T13:38:30+02:00,"(46.326345193074026, 7.731201080596648)"
2977399,922,542,2023-07-25T15:35:53+02:00,"(46.32580485618681, 7.733109192313138)"
2977400,922,4211,2023-07-25T19:00:28+02:00,"(46.293515103928065, 7.560396810593227)"
2977427,922,437,2023-07-27T09:20:36+02:00,"(46.017700667256506, 7.788869755218887)"
2977526,922,4212,2023-07-27T18:12:35+02:00,"(46.010851991119424, 7.778011031365658)"
2977527,922,2211,2023-07-27T17:11:52+02:00,"(46.01480235174169, 7.772727737542922)"
