# Growth form by plant species, assigned by family where possible, or manually.
"sp_name","growth_form"
"Juniperus sabina L.","Woody"
"Knautia dipsacifolia Kreutzer subsp. dipsacifolia","Forb"
"Koeleria pyramidata (Lam.) P. Beauv.","Graminoid"
"Lamium galeobdolon subsp. montanum (Pers.) Hayek","Forb"
"Lamium maculatum (L.) L.","Forb"
"Lapsana communis L. subsp. communis","Forb"
"Larix decidua Mill.","Woody"
"Lathyrus pratensis L.","Forb"
"Lathyrus vernus (L.) Bernh.","Forb"
"Leontodon helveticus Mérat","Forb"
"Leontodon hispidus L.","Forb"
"Leontodon hispidus L. subsp. hispidus","Forb"
"Leucanthemopsis alpina (L.) Heywood","Forb"
"Leucanthemum adustum (W. D. J. Koch) Gremli","Forb"
"Ligusticum mutellinoides Vill.","Forb"
"Ligustrum vulgare L.","Woody"
"Linaria alpina (L.) Mill.","Forb"
"Listera cordata (L.) R. Br.","Forb"
"Loiseleuria procumbens (L.) Desv.","Woody"
"Lolium perenne L.","Graminoid"
"Lomelosia graminifolia (L.) Greuter & Burdet","Forb"
"Lonicera xylosteum L.","Woody"
"Lotus alpinus (DC.) Ramond","Forb"
"Lotus corniculatus L.","Forb"
"Lotus maritimus L.","Forb"
"Lotus pedunculatus Cav.","Forb"
"Lunaria rediviva L.","Forb"
"Luzula campestris (L.) DC.","Graminoid"
"Luzula lutea (All.) DC.","Graminoid"
"Luzula luzuloides (Lam.) Dandy & Wilmott","Graminoid"
"Luzula nivea (L.) DC.","Graminoid"
"Luzula spicata (L.) DC.","Graminoid"
"Luzula sylvatica (Huds.) Gaudin","Graminoid"
"Luzula sylvatica aggr.","Graminoid"
"Lycopodium annotinum L.","Fern"
"Lycopodium clavatum L.","Fern"
"Lysimachia vulgaris L.","Forb"
"Lythrum salicaria L.","Forb"
"Maianthemum bifolium (L.) F. W. Schmidt","Forb"
"Matricaria discoidea DC.","Forb"
"Medicago lupulina L.","Forb"
"Medicago sativa L.","Forb"
"Melampyrum pratense L.","Forb"
"Melampyrum sylvaticum L.","Forb"
"Melica ciliata L.","Graminoid"
"Melica nutans L.","Graminoid"
"Melilotus albus Medik.","Forb"
"Melittis melissophyllum L.","Forb"
"Menyanthes trifoliata L.","Forb"
"Mercurialis perennis L.","Forb"
"Milium effusum L.","Graminoid"
"Minuartia recurva (All.) Schinz & Thell.","Forb"
"Molinia arundinacea Schrank","Graminoid"
"Molinia caerulea (L.) Moench","Graminoid"
"Myosotis alpestris F. W. Schmidt","Forb"
"Myosotis decumbens Host","Forb"
"Myosotis nemorosa Besser","Forb"
"Myosotis sylvatica aggr.","Forb"
"Myricaria germanica (L.) Desv.","Woody"
"Nardus stricta L.","Graminoid"
"Neottia nidus-avis (L.) Rich.","Forb"
"Nigritella rhellicani Teppner & E. Klein","Forb"
"Nuphar lutea (L.) Sm.","Aquatic"
"Nymphaea alba L.","Aquatic"
"Odontites luteus (L.) Clairv.","Forb"
"Odontites viscosus (L.) Clairv.","Forb"
"Ononis pusilla L.","Forb"
"Orchis mascula (L.) L. subsp. mascula","Forb"
"Orchis morio L.","Forb"
"Orchis palustris Jacq.","Forb"
